task,object_of_interest
put the black bowl in the bottom drawer of the cabinet and close it,"['black bowl', 'cabinet', 'gripper']"
put the yellow and white mug in the microwave and close it,"['yellow and white mug', 'microwave', 'gripper']"
put both the alphabet soup and the cream cheese box in the basket,"['alphabet soup', 'cream cheese', 'basket', 'gripper']"
pick up the book and place it in the back compartment of the caddy,"['book', 'caddy', 'gripper']"
put both the alphabet soup and the tomato sauce in the basket,"['alphabet soup', 'tomato sauce', 'basket', 'gripper']"
put the white mug on the left plate and put the yellow and white mug on the right plate,"['left plate', 'right plate', 'yellow and white mug', 'white mug', 'gripper']"
turn on the stove and put the moka pot on it,"['moka pot', 'stove', 'gripper']"
put both moka pots on the stove,"['left moka pot', 'right moka pot', 'stove', 'gripper']"
put the white mug on the plate and put the chocolate pudding to the right of the plate,"['plate', 'chocolate pudding', 'white mug', 'gripper']"
put both the cream cheese box and the butter in the basket,"['cream cheese', 'butter', 'basket', 'gripper']"
put the bowl on the plate,"['black bowl', 'plate', 'gripper']"
put the wine bottle on the rack,"['wine bottle', 'rack', 'gripper']"
put the cream cheese in the bowl,"['cream cheese', 'black bowl', 'gripper']"
open the top drawer and put the bowl inside,"['black bowl', 'cabinet', 'gripper']"
push the plate to the front of the stove,"['plate', 'stove', 'gripper']"
open the middle drawer of the cabinet,"['cabinet', 'gripper']"
put the bowl on top of the cabinet,"['black bowl', 'cabinet', 'gripper']"
put the wine bottle on top of the cabinet,"['wine bottle', 'cabinet', 'gripper']"
turn on the stove,"['stove', 'gripper']"
put the bowl on the stove,"['black bowl', 'stove', 'gripper']"
pick up the tomato sauce and place it in the basket,"['tomato sauce', 'basket', 'gripper']"
pick up the ketchup and place it in the basket,"['ketchup', 'basket', 'gripper']"
pick up the milk and place it in the basket,"['milk', 'basket', 'gripper']"
pick up the alphabet soup and place it in the basket,"['alphabet soup', 'basket', 'gripper']"
pick up the orange juice and place it in the basket,"['orange juice', 'basket', 'gripper']"
pick up the cream cheese and place it in the basket,"['cream cheese', 'basket', 'gripper']"
pick up the salad dressing and place it in the basket,"['salad dressing', 'basket', 'gripper']"
pick up the bbq sauce and place it in the basket,"['bbq sauce', 'basket', 'gripper']"
pick up the butter and place it in the basket,"['butter', 'basket', 'gripper']"
pick up the chocolate pudding and place it in the basket,"['chocolate pudding', 'basket', 'gripper']"
pick up the black bowl next to the plate and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl between the plate and the ramekin and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl next to the cookie box and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl on the wooden cabinet and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl on the cookie box and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl from table center and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl next to the ramekin and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl on the stove and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,"['black bowl', 'plate', 'gripper']"
pick up the black bowl on the ramekin and place it on the plate,"['black bowl', 'plate', 'gripper']"
